"","province","location","year","latinName","commonName","counts","catched","adult","pulli","not_catched"
"81","Antwerpen","Arendonk",2013,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"82","Antwerpen","Arendonk",2013,"Branta canadensis","Canadese gans",8,NA,NA,NA,NA
"83","Antwerpen","Arendonk",2013,"Branta leucopsis","Brandgans",0,NA,NA,NA,NA
"84","Antwerpen","Arendonk",2013,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"85","Antwerpen","Arendonk",2013,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"86","Antwerpen","Arendonk",2014,"Alopochen aegyptiacus","Nijlgans",0,NA,NA,NA,NA
"87","Antwerpen","Arendonk",2014,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"88","Antwerpen","Arendonk",2014,"Anser anser","Grauwe gans",6,NA,NA,NA,NA
"89","Antwerpen","Arendonk",2014,"Anser anser forma domesticus","Soepgans",0,NA,NA,NA,NA
"90","Antwerpen","Arendonk",2014,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"91","Antwerpen","Arendonk",2014,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"92","Antwerpen","Arendonk",2014,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"93","Antwerpen","Arendonk",2014,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"94","Antwerpen","Arendonk",2014,"Branta canadensis","Canadese gans",0,NA,NA,NA,NA
"95","Antwerpen","Arendonk",2014,"Branta leucopsis","Brandgans",0,NA,NA,NA,NA
"96","Antwerpen","Arendonk",2014,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"97","Antwerpen","Arendonk",2014,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"98","Antwerpen","Arendonk",2015,"Alopochen aegyptiacus","Nijlgans",0,NA,NA,NA,NA
"99","Antwerpen","Arendonk",2015,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"100","Antwerpen","Arendonk",2015,"Anser anser","Grauwe gans",0,NA,NA,NA,NA
"101","Antwerpen","Arendonk",2015,"Anser anser forma domesticus","Soepgans",0,NA,NA,NA,NA
"102","Antwerpen","Arendonk",2015,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"103","Antwerpen","Arendonk",2015,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"104","Antwerpen","Arendonk",2015,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"105","Antwerpen","Arendonk",2015,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"106","Antwerpen","Arendonk",2015,"Branta canadensis","Canadese gans",3,NA,NA,NA,NA
"107","Antwerpen","Arendonk",2015,"Branta leucopsis","Brandgans",0,NA,NA,NA,NA
"108","Antwerpen","Arendonk",2015,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"109","Antwerpen","Arendonk",2015,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"110","Antwerpen","Beerse",2013,"Alopochen aegyptiacus","Nijlgans",0,NA,NA,NA,NA
"111","Antwerpen","Beerse",2013,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"112","Antwerpen","Beerse",2013,"Anser anser","Grauwe gans",3,NA,NA,NA,NA
"113","Antwerpen","Beerse",2013,"Anser anser forma domesticus","Soepgans",0,NA,NA,NA,NA
"114","Antwerpen","Beerse",2013,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"115","Antwerpen","Beerse",2013,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"116","Antwerpen","Beerse",2013,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"117","Antwerpen","Beerse",2013,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"118","Antwerpen","Beerse",2013,"Branta canadensis","Canadese gans",154,NA,NA,NA,NA
"119","Antwerpen","Beerse",2013,"Branta leucopsis","Brandgans",13,NA,NA,NA,NA
"120","Antwerpen","Beerse",2013,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"121","Antwerpen","Beerse",2013,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"122","Antwerpen","Beerse",2014,"Alopochen aegyptiacus","Nijlgans",6,NA,NA,NA,NA
"123","Antwerpen","Beerse",2014,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"124","Antwerpen","Beerse",2014,"Anser anser","Grauwe gans",0,NA,NA,NA,NA
"125","Antwerpen","Beerse",2014,"Anser anser forma domesticus","Soepgans",0,NA,NA,NA,NA
"126","Antwerpen","Beerse",2014,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"127","Antwerpen","Beerse",2014,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"128","Antwerpen","Beerse",2014,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"129","Antwerpen","Beerse",2014,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"130","Antwerpen","Beerse",2014,"Branta canadensis","Canadese gans",88,110,0,0,0
"131","Antwerpen","Beerse",2014,"Branta leucopsis","Brandgans",0,NA,NA,NA,NA
"132","Antwerpen","Beerse",2014,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"133","Antwerpen","Beerse",2014,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"134","Antwerpen","Beerse",2015,"Alopochen aegyptiacus","Nijlgans",13,NA,NA,NA,NA
"135","Antwerpen","Beerse",2015,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"136","Antwerpen","Beerse",2015,"Anser anser","Grauwe gans",15,NA,NA,NA,NA
"137","Antwerpen","Beerse",2015,"Anser anser forma domesticus","Soepgans",0,NA,NA,NA,NA
"138","Antwerpen","Beerse",2015,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"139","Antwerpen","Beerse",2015,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"140","Antwerpen","Beerse",2015,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"141","Antwerpen","Beerse",2015,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"142","Antwerpen","Beerse",2015,"Branta canadensis","Canadese gans",70,NA,NA,NA,NA
"143","Antwerpen","Beerse",2015,"Branta leucopsis","Brandgans",39,NA,NA,NA,NA
"144","Antwerpen","Beerse",2015,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"145","Antwerpen","Beerse",2015,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"146","Antwerpen","Beerse",2016,"Alopochen aegyptiacus","Nijlgans",13,NA,NA,NA,NA
"147","Antwerpen","Beerse",2016,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"148","Antwerpen","Beerse",2016,"Anser anser","Grauwe gans",15,NA,NA,NA,NA
"149","Antwerpen","Beerse",2016,"Anser anser forma domesticus","Soepgans",1,1,1,0,0
"150","Antwerpen","Beerse",2016,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"151","Antwerpen","Beerse",2016,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
